index,city,country,created,local_asn,name,updated
1,Ashburn,US,2010-07-29T00:00:00Z,46489,Equinix DC1-DC15 - Ashburn,2016-03-14T21:22:38Z
2,San Jose,US,2015-04-07T00:00:00Z,46489,"Equinix SV1/SV5/SV10 - Silicon Valley, San Jose",2016-03-14T21:49:38Z
3,Chicago,US,2012-06-05T00:00:00Z,46489,Equinix CH1/CH2/CH4 - Chicago,2016-11-15T00:15:46Z
4,Los Angeles,US,2010-07-29T00:00:00Z,46489,Equinix LA1 - Los Angeles,2016-03-14T21:55:28Z
5,Los Angeles,US,2016-01-07T00:00:00Z,46489,CoreSite - Los Angeles (LA1) One Wilshire,2016-03-14T21:36:31Z
6,New York,US,2016-01-07T00:00:00Z,46489,"Equinix NY9 - New York, 111 8th Avenue",2016-03-14T21:53:53Z
7,London,GB,2014-07-21T00:00:00Z,46489,"Equinix LD8 - London, Docklands",2016-03-14T21:35:23Z
8,Frankfurt,DE,2016-08-24T07:44:59Z,46489,Interxion Frankfurt (FRA1-15),2016-09-19T05:47:27Z
9,Frankfurt,DE,2011-11-02T00:00:00Z,46489,"Equinix FR5 - Frankfurt, KleyerStrasse",2016-03-14T21:57:37Z
10,Vienna,AT,2016-08-25T14:56:32Z,46489,"Interxion Vienna (VIE1, VIE2)",2016-08-25T14:56:32Z
11,Seattle,US,2016-01-07T00:00:00Z,46489,Westin Building Seattle,2016-03-14T21:36:22Z
12,Amsterdam,NL,2019-08-30T22:45:05Z,46489,Interxion Amsterdam Science Park AMS9 (formerly Vancis / SARA),2019-08-30T22:45:05Z
13,Atlanta,US,2016-07-22T19:09:38Z,46489,Digital Realty ATL (56 Marietta),2016-07-22T19:09:38Z
14,Madrid,ES,2016-08-24T07:45:11Z,46489,"Interxion Madrid (MAD1, MAD2)",2016-08-24T07:45:11Z
15,Seoul,KR,2017-09-12T14:07:49Z,46489,KINX Dogok,2017-09-12T14:07:49Z
16,Copenhagen,DK,2019-05-21T11:40:46Z,46489,Interxion Copenhagen,2019-05-21T11:40:46Z
17,Stockholm,SE,2015-11-03T00:00:00Z,46489,"Equinix SK1 - Stockholm, Bromma",2016-03-14T21:11:29Z
18,Stockholm,SE,2013-07-02T00:00:00Z,46489,"Interxion Stockholm (STO1, STO2, STO3, STO4, STO5)",2016-03-11T07:22:49Z
19,Prague,CZ,2013-07-27T00:00:00Z,46489,CE Colo Prague,2016-03-14T21:58:41Z
20,Hong Kong,HK,2017-11-02T12:53:25Z,46489,MEGA-i (iAdvantage Hong Kong),2017-11-02T12:53:25Z
21,Marseille,FR,2016-12-07T03:00:13Z,46489,"Interxion Marseille (MRS1, MRS2) - previously called SFR Netcentre",2016-12-07T03:00:13Z
22,Frankfurt,DE,2019-01-16T22:11:17Z,46489,Frankfurt 1 Data Center (FRA1),2019-01-16T22:11:17Z
23,Oslo,NO,2018-07-19T20:10:09Z,46489,Digiplex Oslo Ulvenveien (DNAS),2018-07-19T20:10:09Z
24,Newark,US,2017-11-16T23:54:19Z,46489,165 Halsey Meet-Me Room,2017-11-16T23:54:19Z
25,Los Angeles,US,2016-08-24T07:52:37Z,46489,CoreSite - Los Angeles (LA2),2016-08-24T07:52:37Z
26,Denver,US,2016-07-22T19:09:20Z,46489,CoreSite - Denver (DE1),2016-07-22T19:09:20Z
27,Tokyo,JP,2015-07-14T00:00:00Z,46489,Equinix TY2 - Tokyo,2017-07-13T00:44:55Z
28,Taipei,TW,2017-03-10T17:05:40Z,46489,Chief LY Building Taipei,2017-03-10T17:05:40Z
29,Berlin,DE,2017-05-22T23:07:41Z,46489,Berlin 1 Data Center (BER1),2017-05-22T23:07:41Z
30,Warsaw,PL,2015-12-22T00:00:00Z,46489,"Equinix WA1 - Warsaw, Centrum LIM",2017-11-28T17:17:12Z
31,Miami,US,2016-01-07T00:00:00Z,46489,Equinix MI2 - Miami,2016-03-14T21:04:14Z
32,Koto-ku,JP,2020-04-10T20:54:08Z,46489,AT TOKYO(CC1/CC2),2020-04-10T20:54:08Z
33,Toronto,CA,2016-09-14T17:21:57Z,46489,Cologix TOR1,2016-09-14T17:21:57Z
34,Helsinki,FI,2018-04-04T09:00:18Z,46489,Digita Helsinki Pasila Broadcasting Tower,2020-07-10T14:09:33Z
35,Frankfurt,DE,2019-01-16T22:11:36Z,46489,NewTelco Frankfurt,2019-01-16T22:11:36Z
36,Paris,FR,2016-08-25T14:37:29Z,46489,"Equinix PA6 - Paris, Condorcet",2018-02-13T16:21:40Z
37,Cotia,BR,2016-12-13T21:33:17Z,46489,Global Crossing Sao Paulo,2016-12-13T21:33:17Z
38,Kwai Chung,HK,2015-07-18T00:00:00Z,46489,Equinix HK2 - Hong Kong,2016-03-14T21:52:08Z
39,Amsterdam,NL,2016-01-07T00:00:00Z,46489,"Equinix AM5 - Amsterdam, Schepenbergweg",2016-03-14T21:02:29Z
40,Barueri,BR,2016-12-13T21:33:29Z,46489,Equinix SP2 - São Paulo,2016-12-13T21:33:29Z
41,Hemel Hempstead,GB,2019-08-30T22:43:46Z,46489,Gyron Maylands,2019-08-30T22:43:46Z
42,Rio de Janeiro,BR,2016-07-22T19:10:31Z,46489,Level(3) Rio de Janeiro,2016-07-22T19:10:31Z
43,Houston,US,2017-03-07T23:16:22Z,46489,CyrusOne Houston West,2017-03-07T23:16:22Z
44,Sydney,AU,2015-11-03T00:00:00Z,46489,Equinix SY3 - Sydney,2016-03-14T20:49:00Z
45,Miami,US,2016-01-07T00:00:00Z,46489,zColo Miami - 36 NE 2nd St,2016-03-14T21:36:31Z
46,El Marques,MX,2017-10-12T20:00:33Z,46489,KIO Networks QRO|1,2017-10-12T20:00:33Z
47,Englewood,US,2016-07-22T19:09:13Z,46489,EdgeConneX Denver (EDCDEN01),2016-07-22T19:09:13Z
48,Tokyo,JP,2015-07-14T00:00:00Z,46489,Equinix TY4 - Tokyo,2016-03-14T21:11:53Z
49,Tempe,US,2016-08-24T07:51:24Z,46489,EdgeConneX Phoenix (EDCPHX01),2016-08-24T07:51:24Z
50,Hillsboro,US,2017-07-13T01:03:38Z,46489,EdgeConneX Portland (EDCPOR01),2017-07-13T01:03:38Z
51,Atlanta,US,2016-07-22T19:09:51Z,46489,EdgeConneX Atlanta (EDCATL01),2016-07-22T19:09:51Z
52,Montreal,CA,2016-10-07T17:34:54Z,46489,Cologix MTL3,2016-10-07T17:34:55Z
53,Milan,IT,2018-04-04T09:02:30Z,46489,IRIDEOS Avalon Campus,2018-04-04T09:02:30Z
54,Salt Lake City,US,2017-08-24T19:52:48Z,46489,EdgeConneX Salt Lake City (EDCSLC01),2017-08-24T19:52:48Z
55,Singapore,SG,2016-08-24T07:50:47Z,46489,Equinix SG3 - Singapore,2016-08-24T07:50:47Z
